Date,YC Post-IPO Index,S&P 500,Nasdaq NDXT
30-Jun-2023,-159.36%,0.97%,-3.43%
3-Jul-2023,-157.33%,1.09%,-3.12%
5-Jul-2023,-158.31%,0.89%,-4.08%
6-Jul-2023,-162.97%,0.10%,-5.50%
7-Jul-2023,-162.02%,-0.19%,-5.48%
10-Jul-2023,-159.21%,0.05%,-3.31%
11-Jul-2023,-154.11%,0.72%,-3.06%
12-Jul-2023,-153.79%,1.47%,-2.23%
13-Jul-2023,-149.99%,2.31%,0.04%
14-Jul-2023,-149.45%,2.21%,-0.44%
17-Jul-2023,-151.74%,2.60%,1.43%
18-Jul-2023,-148.14%,3.31%,1.82%
19-Jul-2023,-143.99%,3.54%,1.43%
20-Jul-2023,-144.85%,2.87%,-1.97%
21-Jul-2023,-144.46%,2.90%,-1.26%
24-Jul-2023,-143.26%,3.30%,-1.41%
25-Jul-2023,-136.51%,3.58%,0.08%
26-Jul-2023,-139.14%,3.57%,-0.54%
27-Jul-2023,-140.88%,2.93%,0.43%
28-Jul-2023,-137.60%,3.91%,2.49%
31-Jul-2023,-136.00%,4.06%,3.24%
1-Aug-2023,-140.49%,3.79%,3.36%
2-Aug-2023,-144.06%,2.41%,-0.60%
3-Aug-2023,-143.77%,2.16%,-0.53%
4-Aug-2023,-144.29%,1.63%,-1.64%
7-Aug-2023,-146.68%,2.53%,-0.96%
8-Aug-2023,-149.07%,2.11%,-2.80%
9-Aug-2023,-149.68%,1.40%,-4.04%
10-Aug-2023,-153.37%,1.43%,-3.67%
11-Aug-2023,-154.09%,1.32%,-5.15%
14-Aug-2023,-155.88%,1.90%,-3.27%
15-Aug-2023,-158.09%,0.74%,-4.88%
16-Aug-2023,-160.05%,-0.01%,-6.27%
17-Aug-2023,-161.57%,-0.79%,-7.42%
18-Aug-2023,-163.84%,-0.80%,-7.07%
21-Aug-2023,-165.66%,-0.11%,-4.70%
22-Aug-2023,-168.17%,-0.39%,-5.23%
23-Aug-2023,-165.36%,0.71%,-3.37%
24-Aug-2023,-174.46%,-0.63%,-6.16%
25-Aug-2023,-175.19%,0.04%,-4.88%
28-Aug-2023,-176.72%,0.67%,-4.19%
29-Aug-2023,-168.43%,2.12%,-1.51%
30-Aug-2023,-165.93%,2.50%,-0.69%
31-Aug-2023,-162.90%,2.34%,0.43%
1-Sep-2023,-167.17%,2.52%,1.04%
5-Sep-2023,-166.80%,2.10%,1.38%
6-Sep-2023,-168.60%,1.40%,1.08%
7-Sep-2023,-170.42%,1.08%,-0.07%
8-Sep-2023,-171.99%,1.23%,-0.27%
11-Sep-2023,-172.13%,1.90%,0.64%
12-Sep-2023,-173.58%,1.33%,-0.77%
13-Sep-2023,-176.76%,1.45%,-0.51%
14-Sep-2023,-178.39%,2.30%,0.23%
15-Sep-2023,-179.52%,1.08%,-2.38%
18-Sep-2023,-181.50%,1.15%,-1.90%
19-Sep-2023,-177.12%,0.94%,-2.50%
20-Sep-2023,-179.16%,0.00%,-4.01%
21-Sep-2023,-182.84%,-1.64%,-6.03%
22-Sep-2023,-183.67%,-1.87%,-5.25%
25-Sep-2023,-184.96%,-1.47%,-4.97%
26-Sep-2023,-186.66%,-2.94%,-6.54%
27-Sep-2023,-186.31%,-2.92%,-5.78%
28-Sep-2023,-185.24%,-2.33%,-4.64%
29-Sep-2023,-182.24%,-2.60%,-4.17%
2-Oct-2023,-184.06%,-2.59%,-3.44%
3-Oct-2023,-189.46%,-3.97%,-5.90%
4-Oct-2023,-189.03%,-3.16%,-4.53%
5-Oct-2023,-189.65%,-3.29%,-4.96%
6-Oct-2023,-187.97%,-2.11%,-2.16%
9-Oct-2023,-186.08%,-1.48%,-1.76%
10-Oct-2023,-182.78%,-0.96%,-0.65%
11-Oct-2023,-184.32%,-0.53%,-0.12%
12-Oct-2023,-184.43%,-1.15%,-0.56%
13-Oct-2023,-185.08%,-1.65%,-2.37%
16-Oct-2023,-179.41%,-0.59%,-1.07%
17-Oct-2023,-178.06%,-0.60%,-1.22%
18-Oct-2023,-182.37%,-1.94%,-2.68%
19-Oct-2023,-185.23%,-2.79%,-3.94%
20-Oct-2023,-186.29%,-4.05%,-5.77%
23-Oct-2023,-185.29%,-4.22%,-5.98%
24-Oct-2023,-182.50%,-3.49%,-4.70%
25-Oct-2023,-189.35%,-4.93%,-8.31%
26-Oct-2023,-189.96%,-6.11%,-9.24%
27-Oct-2023,-191.30%,-6.59%,-8.58%
30-Oct-2023,-189.05%,-5.39%,-8.98%
31-Oct-2023,-187.04%,-4.74%,-8.16%
1-Nov-2023,-186.51%,-3.69%,-6.78%
2-Nov-2023,-180.02%,-1.80%,-5.19%
3-Nov-2023,-177.69%,-0.86%,-3.42%
6-Nov-2023,-179.35%,-0.69%,-3.80%
7-Nov-2023,-179.21%,-0.41%,-1.83%
8-Nov-2023,-180.48%,-0.31%,-1.61%
9-Nov-2023,-183.62%,-1.11%,-2.30%
10-Nov-2023,-182.30%,0.45%,0.91%
13-Nov-2023,-181.10%,0.36%,0.50%
14-Nov-2023,-176.15%,2.27%,3.79%
15-Nov-2023,-174.39%,2.43%,3.94%
16-Nov-2023,-176.60%,2.55%,3.99%
17-Nov-2023,-175.72%,2.68%,4.46%
20-Nov-2023,-174.32%,3.42%,6.07%
21-Nov-2023,-175.95%,3.22%,5.07%
22-Nov-2023,-174.60%,3.62%,5.09%
24-Nov-2023,-173.43%,3.68%,5.31%
27-Nov-2023,-173.41%,3.49%,5.14%
28-Nov-2023,-171.87%,3.58%,5.86%
29-Nov-2023,-172.37%,3.49%,7.40%
30-Nov-2023,-173.75%,3.87%,7.13%
1-Dec-2023,-167.84%,4.46%,7.45%
4-Dec-2023,-166.75%,3.91%,6.20%
5-Dec-2023,-167.15%,3.86%,5.99%
6-Dec-2023,-168.48%,3.47%,5.28%
7-Dec-2023,-167.14%,4.26%,7.12%
8-Dec-2023,-164.62%,4.67%,7.58%
11-Dec-2023,-165.73%,5.07%,9.92%
12-Dec-2023,-166.09%,5.53%,10.90%
13-Dec-2023,-162.12%,6.89%,12.28%
14-Dec-2023,-159.87%,7.16%,13.28%
15-Dec-2023,-161.78%,7.15%,14.12%
18-Dec-2023,-160.62%,7.60%,14.03%
19-Dec-2023,-158.40%,8.19%,14.45%
20-Dec-2023,-160.89%,6.72%,12.66%
21-Dec-2023,-158.90%,7.75%,14.57%
22-Dec-2023,-157.69%,7.92%,15.03%
26-Dec-2023,-157.73%,8.34%,16.02%
27-Dec-2023,-156.38%,8.48%,16.01%
28-Dec-2023,-156.45%,8.52%,15.91%
29-Dec-2023,-159.50%,8.24%,15.26%
2-Jan-2024,-163.57%,7.67%,12.12%
3-Jan-2024,-166.59%,6.87%,10.67%
4-Jan-2024,-166.26%,6.53%,10.09%
5-Jan-2024,-166.31%,6.71%,10.34%
8-Jan-2024,-163.07%,8.12%,13.19%
9-Jan-2024,-164.03%,7.97%,13.72%
10-Jan-2024,-163.56%,8.54%,14.32%
11-Jan-2024,-165.85%,8.47%,14.86%
12-Jan-2024,-168.71%,8.55%,14.80%
16-Jan-2024,-169.07%,8.17%,15.10%
17-Jan-2024,-169.55%,7.61%,14.29%
18-Jan-2024,-170.02%,8.49%,16.12%
19-Jan-2024,-168.20%,9.72%,18.85%
22-Jan-2024,-166.71%,9.94%,19.58%
23-Jan-2024,-167.21%,10.23%,19.98%
24-Jan-2024,-168.39%,10.32%,20.66%
25-Jan-2024,-167.62%,10.84%,20.56%
26-Jan-2024,-165.53%,10.78%,19.12%
29-Jan-2024,-162.18%,11.53%,20.43%
30-Jan-2024,-164.46%,11.47%,19.41%
31-Jan-2024,-166.55%,9.86%,17.63%
1-Feb-2024,-164.95%,11.11%,18.56%
2-Feb-2024,-164.21%,12.18%,19.91%
5-Feb-2024,-167.30%,11.86%,19.87%
6-Feb-2024,-165.97%,12.09%,19.35%
7-Feb-2024,-164.67%,12.92%,21.15%
8-Feb-2024,-160.66%,12.97%,22.24%
9-Feb-2024,-158.24%,13.55%,23.99%
12-Feb-2024,-156.79%,13.45%,23.38%
13-Feb-2024,-160.01%,12.09%,21.29%
14-Feb-2024,-155.60%,13.04%,23.19%
15-Feb-2024,-152.37%,13.63%,23.14%
16-Feb-2024,-154.18%,13.14%,22.00%
20-Feb-2024,-157.41%,12.54%,21.00%
21-Feb-2024,-160.00%,12.67%,19.19%
22-Feb-2024,-156.48%,14.78%,22.88%
23-Feb-2024,-157.23%,14.82%,22.49%
26-Feb-2024,-152.84%,14.44%,23.11%
27-Feb-2024,-149.97%,14.61%,23.28%
28-Feb-2024,-149.75%,14.44%,22.41%
29-Feb-2024,-148.26%,14.97%,23.92%
1-Mar-2024,-148.25%,15.77%,25.79%
4-Mar-2024,-144.50%,15.65%,25.79%
5-Mar-2024,-149.19%,14.63%,23.21%
6-Mar-2024,-144.37%,15.14%,24.59%
7-Mar-2024,-144.11%,16.17%,26.60%
8-Mar-2024,-142.52%,15.52%,24.07%
11-Mar-2024,-143.89%,15.41%,23.53%
12-Mar-2024,-143.02%,16.53%,25.18%
13-Mar-2024,-143.95%,16.34%,23.86%
14-Mar-2024,-146.76%,16.05%,22.96%
15-Mar-2024,-147.08%,15.40%,21.49%
18-Mar-2024,-146.64%,16.03%,22.23%
19-Mar-2024,-147.48%,16.60%,22.26%
20-Mar-2024,-142.06%,17.49%,23.71%
21-Mar-2024,-134.47%,17.81%,24.67%
22-Mar-2024,-136.32%,17.67%,24.40%
25-Mar-2024,-131.69%,17.37%,23.86%
26-Mar-2024,-132.63%,17.09%,23.72%
27-Mar-2024,-134.55%,17.95%,24.24%
28-Mar-2024,-134.63%,18.06%,24.17%
1-Apr-2024,-137.29%,17.86%,24.59%
2-Apr-2024,-138.59%,17.14%,23.49%
3-Apr-2024,-137.58%,17.24%,23.72%
4-Apr-2024,-138.60%,16.01%,21.79%
5-Apr-2024,-138.32%,17.12%,23.11%
8-Apr-2024,-136.55%,17.08%,23.13%
9-Apr-2024,-137.38%,17.23%,24.02%
10-Apr-2024,-138.70%,16.28%,22.51%
11-Apr-2024,-135.88%,17.03%,24.23%
12-Apr-2024,-139.78%,15.57%,21.76%
15-Apr-2024,-145.16%,14.37%,19.94%
16-Apr-2024,-145.66%,14.16%,20.28%
17-Apr-2024,-147.13%,13.59%,18.34%
18-Apr-2024,-146.19%,13.37%,17.32%
19-Apr-2024,-148.94%,12.49%,15.09%
22-Apr-2024,-146.16%,13.36%,16.48%
23-Apr-2024,-143.39%,14.56%,18.52%
24-Apr-2024,-144.66%,14.58%,19.20%
25-Apr-2024,-145.07%,14.12%,19.18%
26-Apr-2024,-141.63%,15.14%,20.82%
29-Apr-2024,-143.58%,15.46%,20.66%
30-Apr-2024,-147.77%,13.89%,18.73%
1-May-2024,-147.19%,13.54%,17.17%
2-May-2024,-145.93%,14.46%,18.70%
3-May-2024,-146.03%,15.71%,20.14%
6-May-2024,-144.29%,16.75%,21.45%
7-May-2024,-146.72%,16.88%,21.08%
8-May-2024,-147.84%,16.88%,20.94%
9-May-2024,-149.20%,17.39%,20.71%
10-May-2024,-151.30%,17.55%,21.23%
13-May-2024,-149.42%,17.53%,21.73%
14-May-2024,-148.85%,18.01%,22.44%
15-May-2024,-146.80%,19.18%,24.80%
16-May-2024,-149.85%,18.98%,24.63%
17-May-2024,-147.97%,19.09%,24.47%
20-May-2024,-146.33%,19.18%,25.76%
21-May-2024,-147.26%,19.44%,25.32%
22-May-2024,-147.58%,19.16%,25.90%
23-May-2024,-150.41%,18.43%,25.21%
24-May-2024,-147.25%,19.13%,25.72%
28-May-2024,-145.99%,19.15%,25.51%
29-May-2024,-147.99%,18.41%,24.27%
30-May-2024,-149.16%,17.82%,22.43%
31-May-2024,-151.03%,18.62%,21.61%
3-Jun-2024,-149.82%,18.73%,21.60%
4-Jun-2024,-148.80%,18.88%,21.16%
5-Jun-2024,-147.25%,20.07%,24.10%
6-Jun-2024,-144.84%,20.05%,23.81%
7-Jun-2024,-147.70%,19.94%,23.76%
10-Jun-2024,-146.52%,20.19%,24.90%
11-Jun-2024,-147.08%,20.46%,25.45%
12-Jun-2024,-144.21%,21.31%,27.47%
13-Jun-2024,-146.70%,21.55%,27.12%
14-Jun-2024,-147.88%,21.51%,27.37%
17-Jun-2024,-147.51%,22.28%,28.65%
18-Jun-2024,-149.17%,22.53%,28.95%
20-Jun-2024,-150.09%,22.28%,27.57%
21-Jun-2024,-150.48%,22.12%,27.66%
24-Jun-2024,-153.46%,21.81%,26.16%
25-Jun-2024,-150.82%,22.21%,27.18%
26-Jun-2024,-151.29%,22.36%,27.25%
27-Jun-2024,-149.34%,22.45%,27.74%
28-Jun-2024,-149.54%,22.05%,28.12%
1-Jul-2024,-147.59%,22.31%,28.51%
2-Jul-2024,-147.08%,22.93%,29.54%
3-Jul-2024,-147.22%,23.44%,30.27%
5-Jul-2024,-147.38%,23.99%,31.44%
8-Jul-2024,-148.20%,24.09%,31.67%
9-Jul-2024,-149.38%,24.16%,31.00%
10-Jul-2024,-149.89%,25.18%,32.09%
11-Jul-2024,-150.89%,24.31%,30.10%
12-Jul-2024,-149.99%,24.86%,31.41%
15-Jul-2024,-146.82%,25.14%,31.62%
16-Jul-2024,-144.08%,25.78%,32.10%
17-Jul-2024,-145.72%,24.39%,27.96%
18-Jul-2024,-149.14%,23.61%,27.06%
19-Jul-2024,-145.03%,22.89%,25.58%
22-Jul-2024,-143.20%,23.97%,27.55%
23-Jul-2024,-144.05%,23.81%,26.71%
24-Jul-2024,-148.05%,21.50%,22.49%
25-Jul-2024,-150.18%,20.99%,21.72%
26-Jul-2024,-147.60%,22.09%,22.97%
29-Jul-2024,-149.07%,22.18%,22.89%
30-Jul-2024,-150.95%,21.68%,20.81%
31-Jul-2024,-150.14%,23.26%,24.30%
1-Aug-2024,-153.83%,21.89%,20.19%
2-Aug-2024,-155.90%,20.05%,15.74%
5-Aug-2024,-159.31%,17.05%,13.70%
6-Aug-2024,-158.07%,18.09%,14.86%
7-Aug-2024,-163.70%,17.32%,14.21%
8-Aug-2024,-160.34%,19.62%,18.56%
9-Aug-2024,-160.02%,20.09%,18.76%
12-Aug-2024,-160.87%,20.09%,18.69%
13-Aug-2024,-157.76%,21.78%,21.52%
14-Aug-2024,-158.72%,22.16%,21.65%
15-Aug-2024,-156.89%,23.77%,24.91%
16-Aug-2024,-156.38%,23.97%,24.99%
19-Aug-2024,-155.14%,24.94%,26.31%
20-Aug-2024,-156.88%,24.75%,25.72%
21-Aug-2024,-154.47%,25.17%,26.83%
22-Aug-2024,-156.43%,24.28%,24.53%
23-Aug-2024,-152.31%,25.42%,25.92%
26-Aug-2024,-153.47%,25.11%,24.01%
27-Aug-2024,-154.27%,25.27%,24.43%
28-Aug-2024,-156.79%,24.67%,22.87%
29-Aug-2024,-156.52%,24.67%,23.83%
30-Aug-2024,-156.71%,25.68%,25.94%
3-Sep-2024,-161.28%,23.56%,21.50%
4-Sep-2024,-160.49%,23.40%,20.66%
5-Sep-2024,-160.27%,23.10%,20.23%
6-Sep-2024,-164.27%,21.37%,17.64%
9-Sep-2024,-162.29%,22.53%,18.95%
10-Sep-2024,-161.43%,22.98%,19.52%
11-Sep-2024,-160.39%,24.05%,22.16%
12-Sep-2024,-159.24%,24.79%,22.03%
13-Sep-2024,-158.55%,25.34%,22.77%
16-Sep-2024,-158.36%,25.46%,22.50%
17-Sep-2024,-157.49%,25.49%,22.33%
18-Sep-2024,-156.07%,25.20%,21.60%
19-Sep-2024,-151.99%,26.90%,24.57%
20-Sep-2024,-150.97%,26.70%,23.91%
23-Sep-2024,-152.04%,26.98%,24.24%
24-Sep-2024,-150.91%,27.23%,24.89%
25-Sep-2024,-151.15%,27.05%,24.90%
26-Sep-2024,-149.22%,27.45%,26.91%
27-Sep-2024,-147.66%,27.33%,26.43%
30-Sep-2024,-149.86%,27.75%,25.99%
1-Oct-2024,-152.75%,26.82%,23.97%
2-Oct-2024,-152.36%,26.83%,25.02%
3-Oct-2024,-153.14%,26.66%,24.98%
4-Oct-2024,-149.80%,27.56%,26.44%
7-Oct-2024,-150.50%,26.60%,25.73%
8-Oct-2024,-148.96%,27.57%,26.71%
9-Oct-2024,-147.19%,28.28%,28.14%
10-Oct-2024,-148.91%,28.07%,28.59%
11-Oct-2024,-145.68%,28.68%,29.44%
14-Oct-2024,-142.60%,29.45%,30.56%
15-Oct-2024,-142.40%,28.69%,27.38%
16-Oct-2024,-141.11%,29.16%,26.92%
17-Oct-2024,-141.16%,29.14%,26.89%
18-Oct-2024,-137.93%,29.54%,27.16%
21-Oct-2024,-138.94%,29.36%,26.94%
22-Oct-2024,-139.27%,29.31%,26.64%
23-Oct-2024,-141.88%,28.39%,25.02%
24-Oct-2024,-140.20%,28.60%,25.71%
25-Oct-2024,-140.08%,28.57%,26.56%
28-Oct-2024,-139.01%,28.84%,26.89%
30-Oct-2024,-137.45%,28.67%,29.00%
31-Oct-2024,-134.35%,26.81%,26.42%
1-Nov-2024,-138.35%,27.22%,23.42%
4-Nov-2024,-137.87%,26.94%,24.67%
5-Nov-2024,-137.70%,28.16%,24.41%
6-Nov-2024,-132.60%,30.69%,25.75%
7-Nov-2024,-123.87%,31.44%,28.80%
8-Nov-2024,-123.76%,31.81%,31.11%
11-Nov-2024,-121.13%,31.91%,30.34%
12-Nov-2024,-116.24%,31.62%,29.94%
13-Nov-2024,-117.11%,31.64%,29.56%
14-Nov-2024,-120.72%,31.04%,29.22%
15-Nov-2024,-122.24%,29.72%,28.54%
18-Nov-2024,-120.40%,30.11%,25.33%
19-Nov-2024,-117.37%,30.50%,26.38%
20-Nov-2024,-116.29%,30.51%,27.27%
21-Nov-2024,-116.87%,31.04%,26.96%
22-Nov-2024,-115.47%,31.39%,28.74%
25-Nov-2024,-114.63%,31.69%,29.51%
26-Nov-2024,-114.41%,32.26%,30.73%
27-Nov-2024,-117.15%,31.88%,30.09%
29-Nov-2024,-115.34%,32.44%,28.42%
2-Dec-2024,-116.87%,32.69%,29.07%
3-Dec-2024,-115.47%,32.73%,31.11%
4-Dec-2024,-113.24%,33.34%,30.68%
5-Dec-2024,-110.62%,33.15%,32.95%
6-Dec-2024,-111.97%,33.40%,30.95%
9-Dec-2024,-108.52%,32.79%,32.01%
10-Dec-2024,-112.07%,32.49%,31.64%
11-Dec-2024,-114.02%,33.31%,29.56%
12-Dec-2024,-111.90%,32.76%,31.33%
13-Dec-2024,-112.92%,32.76%,30.74%
16-Dec-2024,-111.56%,33.14%,30.78%
17-Dec-2024,-109.98%,32.76%,31.92%
18-Dec-2024,-112.33%,29.81%,31.00%
19-Dec-2024,-116.12%,29.72%,26.92%
20-Dec-2024,-115.60%,30.81%,25.93%
23-Dec-2024,-114.76%,31.54%,27.12%
24-Dec-2024,-115.40%,32.64%,27.88%
26-Dec-2024,-112.87%,32.60%,29.02%
27-Dec-2024,-112.78%,31.49%,28.73%
30-Dec-2024,-114.45%,30.42%,27.54%
31-Dec-2024,-116.36%,29.99%,25.80%
2-Jan-2025,-117.11%,29.77%,25.03%
3-Jan-2025,-113.92%,31.03%,25.39%
6-Jan-2025,-110.98%,31.59%,27.71%
7-Jan-2025,-109.34%,30.48%,29.53%
8-Jan-2025,-112.64%,30.63%,27.74%
10-Jan-2025,-114.56%,29.09%,27.39%
13-Jan-2025,-115.59%,29.25%,25.47%
14-Jan-2025,-117.10%,29.36%,24.83%
15-Jan-2025,-120.60%,31.19%,25.68%
16-Jan-2025,-117.59%,30.98%,27.76%
17-Jan-2025,-115.32%,31.98%,27.73%
21-Jan-2025,-113.74%,32.86%,29.77%
22-Jan-2025,-111.95%,33.47%,30.83%
23-Jan-2025,-111.83%,34.00%,32.47%
24-Jan-2025,-112.49%,33.72%,32.36%
27-Jan-2025,-112.10%,32.26%,31.36%
28-Jan-2025,-113.80%,33.18%,28.14%
29-Jan-2025,-110.68%,32.71%,29.78%
30-Jan-2025,-109.11%,33.24%,29.36%
31-Jan-2025,-108.42%,32.74%,30.67%
3-Feb-2025,-108.96%,31.98%,30.85%
4-Feb-2025,-109.12%,32.70%,29.96%
5-Feb-2025,-107.88%,33.09%,31.58%
6-Feb-2025,-107.15%,33.45%,32.58%
7-Feb-2025,-108.47%,32.51%,32.83%
10-Feb-2025,-107.41%,33.18%,31.62%
11-Feb-2025,-106.96%,33.21%,32.93%
12-Feb-2025,-108.61%,32.94%,32.71%
13-Feb-2025,-106.75%,33.98%,33.16%
,-206.75%,-66.02%,35.01%